COMPANY,MODEL_ID,MODEL_NAME,TARGET_DATABASE,TARGET_SCHEMA,TARGET_TABLE,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_TABLE,SOURCE_JOIN_FILTER_CONDITION,LOAD_RUN_TYPE,LOADER,LOAD_SOURCE_INSERT_COLUMN,SCHEMA_FILTER,IS_COMPLETED,IS_ACTIVE,INSERT_DATE,UPDATE_DATE
AL,SITE_AL,SITE_AL,DEV_BASE_DB,RV,SAT_SITE_AL,STITCH_LANDING_DB,ALICE_ALICE,HOTEL,RECORD_SITE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
TR,SITE_TR_MAR,SITE_TR_MAR,DEV_BASE_DB,RV,SAT_SITE_TR_MAR,DEV_RAW_TR_DB,MARRIOTT,DIM_SITES,RECORD_SITE_ID IS NOT NULL,FULL,ADF,SITE_RECORD_LAST_MODIFIED_DATE,,FALSE,TRUE,,
TR,SITE_PROPERTY_TR_MAR,SITE_PROPERTY_TR_MAR,DEV_BASE_DB,RV,LNKSAT_SITE_PROPERTY_TR_MAR,DEV_RAW_TR_DB,MARRIOTT,DIM_SITE_PROPERTIES,RECORD_SITE_PROPERTY_ID IS NOT NULL,FULL,ADF,SITE_PROPERTY_RECORD_LAST_MODIFIED_DATE,,FALSE,TRUE,,
TR,SITE_GROUP_TR_MAR,SITE_GROUP_TR_MAR,DEV_BASE_DB,RV,SAT_SITE_GROUP_TR_MAR,DEV_RAW_TR_DB,MARRIOTT,DIM_SITE_GROUPS,RECORD_SITE_GROUP_ID IS NOT NULL,FULL,ADF,SITE_GROUP_RECORD_LAST_MODIFIED_DATE,,FALSE,TRUE,,
TR,SITE_GROUP_SITE_TR_MAR,SITE_GROUP_SITE_TR_MAR,DEV_BASE_DB,RV,LNKSAT_SITE_GROUP_SITE_TR_MAR,DEV_RAW_TR_DB,MARRIOTT,DIM_SITE_GROUP_SITES,RECORD_SITE_GROUP_SITE_ID IS NOT NULL,FULL,ADF,SITE_GROUP_SITES_RECORD_LAST_MODIFIED_DATE,,FALSE,TRUE,,
PS,SITE_PS,SITE_PS,DEV_BASE_DB,RV,SAT_SITE_PS,DEV_RAW_PS_DB,PS_ALL,SITES,RECORD_SITE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SITE_ADDRESS_PS,SITE_ADDRESS_PS,DEV_BASE_DB,RV,SAT_SITE_ADDRESS_PS,DEV_RAW_PS_DB,PS_ALL,SITESADDRESSES,RECORD_SITE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SITE_BILLING_PS,SITE_BILLING_PS,DEV_BASE_DB,RV,SAT_SITE_BILLING_PS,DEV_RAW_PS_DB,PS_ALL,SITESBILLING,RECORD_SITE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SITE_LIST_PS,SITE_LIST_PS,DEV_BASE_DB,RV,SAT_SITE_LIST_PS,DEV_RAW_PS_DB,PS_ALL,SITESLISTS,RECORD_SITE_LIST_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SITE_ROOM_PS,SITE_ROOM_PS,DEV_BASE_DB,RV,SAT_SITE_ROOM_PS,DEV_RAW_PS_DB,PS_ALL,SITESROOMS,RECORD_SITE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
